epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,966.397,1.17807,1.16256,1.44015,0.32245,0.5,0.16542,0.01654,4.26682,3.42165,7.16115,0.0011684,0.0011684,0.0011684
44,987.942,1.20106,1.25296,1.45807,0,0,0,0,4.52077,3.09238,7.08616,0.0011486,0.0011486,0.0011486
45,1009.31,1.19235,1.18932,1.60124,0.00167,0.5,0.00256,0.00051,3.59545,3.28002,4.83847,0.0011288,0.0011288,0.0011288
46,1030.84,1.04197,1.212,1.44492,0.65056,0.95168,0.66333,0.13507,2.93355,3.07846,4.84535,0.001109,0.001109,0.001109
47,1052.52,1.34715,1.8201,1.59903,0.46039,0.5,0.35861,0.08281,3.10572,3.56532,4.9403,0.0010892,0.0010892,0.0010892
48,1074.34,1.27819,1.26382,1.70405,0.18797,0.5,0.09948,0.0105,3.94419,3.02207,5.90215,0.0010694,0.0010694,0.0010694
49,1096.13,1.20734,1.23906,1.39241,0.2422,0.5,0.16549,0.01702,4.16675,3.01098,6.05497,0.0010496,0.0010496,0.0010496
50,1118.03,1.25232,1.29438,1.52844,0.55035,0.5,0.49546,0.04982,4.23146,3.16309,5.43544,0.0010298,0.0010298,0.0010298
51,1139.69,1.15029,1.14314,1.47378,0.73748,0.5,0.49549,0.0991,3.83813,2.39104,4.7257,0.00101,0.00101,0.00101
52,1161.35,1.09957,1.05851,1.36193,0.69669,0.5,0.695,0.25806,2.54473,2.80693,3.436,0.0009902,0.0009902,0.0009902
53,1183.07,1.15687,1.08385,1.42198,0.47662,0.5,0.695,0.32756,2.32359,2.15637,3.51634,0.0009704,0.0009704,0.0009704
54,1204.96,1.08533,1.04755,1.41944,0.62805,1,0.82833,0.36576,2.29791,1.68578,3.8442,0.0009506,0.0009506,0.0009506
55,1226.53,1.12586,1.09402,1.43682,0.62693,1,0.82833,0.3495,2.25511,1.67863,3.9394,0.0009308,0.0009308,0.0009308
56,1248.15,1.44347,1.37909,1.63569,0.94708,0.5,0.695,0.28097,2.31629,1.80359,3.64434,0.000911,0.000911,0.000911
57,1269.73,1.04625,1.07182,1.4125,1,0.97762,0.995,0.47243,1.94175,1.56117,3.34109,0.0008912,0.0008912,0.0008912
58,1291.28,1.15451,1.10842,1.41173,0.9765,1,0.995,0.44741,1.64502,1.26665,3.05185,0.0008714,0.0008714,0.0008714
59,1312.87,1.31192,1.28876,1.4993,0.9757,1,0.995,0.44745,1.69999,1.36172,2.96849,0.0008516,0.0008516,0.0008516
60,1334.4,1.26561,1.27319,1.49154,0.95856,1,0.995,0.34949,1.82725,1.51893,2.79851,0.0008318,0.0008318,0.0008318
61,1356.06,1.13051,1.15471,1.4382,0.95841,1,0.995,0.44823,1.93021,1.52947,2.92236,0.000812,0.000812,0.000812
62,1377.51,1.46222,1.64721,1.95251,0.93428,1,0.995,0.40054,2.25386,1.47391,3.15775,0.0007922,0.0007922,0.0007922
63,1399.34,1.12285,1.08656,1.41073,0.91909,1,0.995,0.49908,2.25507,1.50294,3.04906,0.0007724,0.0007724,0.0007724
64,1421.28,1.0356,0.98634,1.37018,0.91976,1,0.995,0.5471,1.81074,1.4878,2.28876,0.0007526,0.0007526,0.0007526
65,1442.86,1.22694,1.19705,1.49695,0.91767,1,0.995,0.59669,1.4383,1.5295,2.05676,0.0007328,0.0007328,0.0007328
66,1464.29,1.0163,0.915,1.27091,1,0.93548,0.995,0.64601,1.05748,1.64618,1.9574,0.000713,0.000713,0.000713
67,1486.22,1.1679,1.00733,1.39165,0.98983,1,0.995,0.64572,1.20622,1.5518,2.26017,0.0006932,0.0006932,0.0006932
68,1508.26,0.9462,0.9311,1.27597,1,0.95987,0.995,0.59639,1.30387,1.28285,2.44535,0.0006734,0.0006734,0.0006734
69,1529.87,0.94206,0.90681,1.26278,0.97216,1,0.995,0.64572,1.21497,1.19045,2.4062,0.0006536,0.0006536,0.0006536
70,1551.7,1.09842,1.02127,1.37146,0.96299,1,0.995,0.64564,1.08124,1.02002,2.30325,0.0006338,0.0006338,0.0006338
71,1573.99,0.99295,1.09723,1.30713,0.96132,1,0.995,0.547,1.1762,1.03461,2.49756,0.000614,0.000614,0.000614
72,1595.57,0.87139,0.99577,1.30521,0.97144,1,0.995,0.49734,1.42723,1.33706,2.76211,0.0005942,0.0005942,0.0005942
73,1617.07,0.95611,0.97926,1.31641,0.97493,1,0.995,0.4725,1.64382,1.49028,2.9302,0.0005744,0.0005744,0.0005744
74,1638.63,0.87088,1.17525,1.25241,0.96649,1,0.995,0.42283,1.88975,1.89712,3.1252,0.0005546,0.0005546,0.0005546
75,1660.47,0.87187,0.77109,1.19941,0.94102,1,0.995,0.4001,2.26824,2.03687,3.32768,0.0005348,0.0005348,0.0005348
76,1682.47,0.99745,1.03088,1.35303,0.61123,1,0.82833,0.19719,3.00112,2.9267,4.1446,0.000515,0.000515,0.000515
77,1704.46,1.24762,1.07457,1.64293,0.57472,1,0.66333,0.14697,3.09666,3.19133,4.27111,0.0004952,0.0004952,0.0004952
